Description,2017,2018,2019,2020,2021,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2022,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2023,2024_Q1,2024_Q2
Pendapatan Primer,-32131000000,-30815000000,-33775000000,-28911000000,-31961000000,-7734000000,-9004000000,-8931000000,-9634000000,-35303000000,-8860000000,-9304000000,-8640000000,-8921000000,-35725000000,-8831000000,-9291000000
- Penerimaan,5575000000,9302000000,7373000000,5222000000,6739000000,1543000000,2012000000,1993000000,1982000000,7530000000,1792000000,1995000000,1950000000,2127000000,7864000000,2360000000,2302000000
- Pembayaran,-37706000000,-40117000000,-41147000000,-34133000000,-38699000000,-9278000000,-11016000000,-10924000000,-11616000000,-42833000000,-10652000000,-11299000000,-10591000000,-11048000000,-43589000000,-11190000000,-11593000000
A. Kompensansi tenaga kerja,-1507000000,-1503000000,-1480000000,-1311000000,-1357000000,-346000000,-286000000,-384000000,-413000000,-1429000000,-367000000,-302000000,-405000000,-433000000,-1506000000,-387000000,-238000000
- Penerimaan,228000000,241000000,231000000,227000000,238000000,69000000,63000000,50000000,62000000,244000000,70000000,65000000,51000000,64000000,249000000,72000000,147000000
- Pembayaran,-1735000000,-1744000000,-1711000000,-1538000000,-1595000000,-416000000,-349000000,-434000000,-475000000,-1673000000,-436000000,-366000000,-456000000,-497000000,-1756000000,-459000000,-385000000
B. Pendapatan investasi,-30624000000,-29312000000,-32295000000,-27599000000,-30604000000,-7388000000,-8718000000,-8547000000,-9222000000,-33874000000,-8493000000,-9002000000,-8236000000,-8488000000,-34219000000,-8443000000,-9053000000
- Penerimaan,5347000000,9061000000,7141000000,4995000000,6500000000,1474000000,1949000000,1943000000,1919000000,7286000000,1722000000,1930000000,1899000000,2063000000,7614000000,2288000000,2155000000
- Pembayaran,-35970000000,-38373000000,-39436000000,-32595000000,-37104000000,-8862000000,-10667000000,-10490000000,-11141000000,-41160000000,-10215000000,-10932000000,-10135000000,-10550000000,-41833000000,-10732000000,-11208000000
a. Pendapatan investasi langsung,-19773000000,-17541000000,-18305000000,-14737000000,-18024000000,-5218000000,-5879000000,-5352000000,-5545000000,-21993000000,-5601000000,-5750000000,-4649000000,-5825000000,-21825000000,-5333000000,-5632000000
1) Pendapatan modal ekuitas,-18816000000,-16407000000,-17491000000,-14105000000,-17534000000,-5115000000,-5741000000,-5201000000,-5424000000,-21481000000,-5482000000,-5578000000,-4570000000,-5719000000,-21349000000,-5190000000,-5527000000
- Penerimaan,1999000000,4909000000,3351000000,2114000000,3009000000,559000000,748000000,850000000,820000000,2977000000,623000000,617000000,808000000,669000000,2717000000,750000000,694000000
- Pembayaran,-20815000000,-21316000000,-20841000000,-16219000000,-20543000000,-5674000000,-6489000000,-6052000000,-6243000000,-24458000000,-6105000000,-6195000000,-5378000000,-6388000000,-24066000000,-5941000000,-6221000000
2) Pendapatan utang (bunga),-957000000,-1134000000,-814000000,-632000000,-490000000,-104000000,-137000000,-150000000,-121000000,-512000000,-119000000,-172000000,-79000000,-106000000,-476000000,-142000000,-105000000
- Penerimaan,14000000,43000000,60000000,24000000,32000000,2000000,3000000,4000000,15000000,23000000,17000000,31000000,45000000,45000000,138000000,25000000,35000000
- Pembayaran,-971000000,-1176000000,-874000000,-656000000,-522000000,-106000000,-140000000,-154000000,-136000000,-536000000,-136000000,-203000000,-124000000,-151000000,-614000000,-167000000,-140000000
b. Pendapatan investasi portofolio,-8600000000,-9649000000,-11192000000,-10695000000,-11331000000,-1912000000,-2601000000,-2905000000,-2947000000,-10365000000,-2330000000,-2684000000,-2755000000,-1987000000,-9756000000,-2110000000,-2611000000
1) Pendapatan modal ekuitas,-2457000000,-3162000000,-3499000000,-2540000000,-3838000000,-517000000,-1271000000,-1351000000,-1184000000,-4324000000,-794000000,-1071000000,-861000000,-496000000,-3222000000,-757000000,-1298000000
- Penerimaan,395000000,463000000,474000000,299000000,430000000,134000000,200000000,231000000,166000000,731000000,118000000,223000000,290000000,358000000,989000000,213000000,157000000
- Pembayaran,-2852000000,-3625000000,-3974000000,-2840000000,-4269000000,-652000000,-1471000000,-1583000000,-1349000000,-5055000000,-911000000,-1294000000,-1152000000,-854000000,-4211000000,-970000000,-1455000000
2) Pendapatan utang (bunga),-6144000000,-6487000000,-7692000000,-8155000000,-7493000000,-1394000000,-1330000000,-1554000000,-1763000000,-6041000000,-1537000000,-1613000000,-1894000000,-1490000000,-6534000000,-1352000000,-1313000000
- Penerimaan,2157000000,2567000000,2299000000,1827000000,2393000000,618000000,781000000,628000000,622000000,2648000000,660000000,759000000,452000000,717000000,2589000000,1003000000,962000000
- Pembayaran,-8301000000,-9054000000,-9992000000,-9981000000,-9886000000,-2012000000,-2111000000,-2181000000,-2386000000,-8689000000,-2197000000,-2373000000,-2346000000,-2207000000,-9122000000,-2355000000,-2275000000
c. Pendapatan investasi lainnya,-2250000000,-2123000000,-2798000000,-2168000000,-1249000000,-258000000,-238000000,-290000000,-730000000,-1516000000,-562000000,-568000000,-832000000,-676000000,-2638000000,-1001000000,-810000000
- Penerimaan,782000000,1079000000,957000000,732000000,636000000,161000000,218000000,231000000,297000000,907000000,304000000,300000000,304000000,274000000,1182000000,298000000,306000000
- Pembayaran,-3032000000,-3202000000,-3755000000,-2899000000,-1885000000,-419000000,-456000000,-521000000,-1027000000,-2423000000,-866000000,-868000000,-1137000000,-950000000,-3820000000,-1299000000,-1116000000
