Description,2020,2021,2022_Oct,2022_Nov,2022_Dec,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug,2024_Sep
Pertanian,100.56,102.52,102.62,103.05,105.61,107.24,106.99,107.52,107.29,107.91,108.75,109.22,109.08,109.41,109.76,110.95,112.69,113.16,114.64,116.72,117.05,116.95,116.79,114.78,113.46,111.75
Pertambangan dan Penggalian,100.44,107.00,121.63,122.08,122.99,124.65,124.59,125.24,125.79,125.66,125.42,124.7,123.32,124.6,123.53,123.75,124.07,125.19,125.36,126.06,126.38,127.54,126.64,126.52,125.31,125.70
Industri,104.30,107.09,115.09,115.36,115.81,116.21,116.72,116.98,117.22,117.36,117.35,117.47,117.58,118.11,118.36,118.45,118.56,118.78,119.50,120.00,120.21,120.17,120.25,120.44,120.59,120.74
IHPB Nasional,103.55,106.20,112.72,113.02,113.88,114.53,114.89,115.21,115.36,115.59,115.74,115.93,115.97,116.47,116.73,117.03,117.46,117.74,118.60,119.41,119.64,119.60,119.63,119.39,119.24,119.03
Impor,150.91,169.58,185.62,177.98,177.59,175.59,179.45,179.72,176.86,178.23,178.38,172.78,174.35,178.13,176.74,174.54,175.18,174.10,176.42,180.58,183.46,179.08,179.17,176.56,172.35,
Impor Non Migas,148.58,149.10,152.60,152.76,152.83,152.94,153.14,153.59,153.52,153.30,154.14,154.03,153.98,153.97,154.03,154.09,153.86,155.53,156.02,155.78,156.08,156.09,156.16,156.25,156.11,156.16
Ekspor,150.75,174.14,189.52,188.69,182.36,181.84,183.77,180.94,183.61,180.66,175.83,181.29,188.08,194.46,192.47,187.49,185.51,187.08,189.77,196.07,202.10,197.05,197.43,199.71,194.80,
Ekspor Non Migas,162.21,169.31,172.05,173.40,174.29,172.96,173.19,175.40,175.75,174.54,171.60,173.03,174.61,174.76,175.25,175.48,176.66,178.08,178.95,181.19,185.49,184.96,185.70,187.33,186.46,186.95
IHPI,150.82,172.08,187.76,183.84,180.20,179.01,181.81,180.38,180.55,179.56,176.98,177.44,181.87,187.07,185.35,181.63,180.83,181.20,183.73,189.06,193.67,188.91,189.17,189.23,184.64,
IHPI Non Migas,155.84,159.88,162.97,163.76,164.27,163.61,163.82,165.22,165.37,164.62,163.45,164.16,164.97,165.05,165.34,165.49,166.01,167.55,168.24,169.32,171.76,171.48,171.90,172.82,172.29,172.57
